delivery_person_id,delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,temperature,humidity,distance_km,target,type_of_order_buffet,type_of_order_drinks,type_of_order_meal,type_of_order_snack,type_of_vehicle_electric_scooter,type_of_vehicle_motorcycle,type_of_vehicle_scooter,traffic_level_high,traffic_level_low,traffic_level_moderate,traffic_level_very_high,traffic_level_very_low,weather_description_broken_clouds,weather_description_clear_sky,weather_description_few_clouds,weather_description_fog,weather_description_haze,weather_description_mist,weather_description_moderate_rain,weather_description_overcast_clouds,weather_description_scattered_clouds,weather_description_smoke
259,32,4.6,12.972793,80.249982,13.012793,80.289982,26.55,87.0,9.89,43.45,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1026,33,4.7,23.369746,8.533982,23.479746,8.544982,17.51,69.0,19.11,63.61,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
378,36,4.2,30.327968,78.046106,30.397968,78.116106,12.44,77.0,11.59,60.61,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
974,23,4.7,1.856245,73.916619,1.865245,74.006619,19.37,65.0,21.93,49.45,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
469,34,4.9,17.426228,78.407495,17.496228,78.477495,21.29,64.0,18.26,87.47,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
825,25,4.0,19.221315,72.862381,19.261315,72.902381,24.51,47.0,8.97,57.69,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1088,35,4.3,21.160522,72.771477,21.250522,72.861477,22.92,43.0,16.08,73.61,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
991,32,4.6,18.563934,73.915367,18.693935,74.045367,19.15,64.0,26.35,90.64,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
942,33,4.9,1.855144,73.804855,1.862144,73.874855,18.97,65.0,17.24,79.11,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
176,22,4.8,12.972532,77.608179,13.042532,77.678179,19.7,93.0,12.08,78.81,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
868,29,4.6,19.121999,72.908493,19.201999,72.988493,24.42,49.0,19.19,46.25,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
827,23,4.9,19.221315,72.862381,19.281315,72.922381,24.96,48.0,13.2,67.69,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
145,27,4.9,12.970324,77.645748,13.030324,77.705748,19.84,93.0,11.37,73.64,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
256,37,4.8,13.064181,80.236442,13.104181,80.276442,26.14,88.0,8.68,46.45,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
326,28,4.8,11.003681,76.975525,11.083681,77.055525,23.97,78.0,15.83,50.35,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
309,24,4.7,1.096185,76.971082,1.105185,77.061082,24.04,78.0,19.07,82.86,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1077,30,4.4,21.183434,72.814492,21.253434,72.884492,22.83,42.0,14.97,42.3,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
164,29,4.6,12.935662,7.761413,12.975662,7.765413,20.21,91.0,11.19,75.81,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
468,26,4.7,17.431477,7.840035,17.491477,7.846035,21.4,64.0,15.46,75.97,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
444,24,4.6,17.411028,78.329645,17.471028,78.389645,21.27,65.0,12.62,60.61,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
104,37,4.6,19.876428,75.364792,19.956428,75.444792,16.17,82.0,15.46,67.03,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
594,36,4.8,26.891191,75.802083,26.981191,75.892083,19.97,68.0,17.59,79.86,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
922,29,5.0,12.316967,76.603067,12.366967,76.653067,18.28,81.0,13.43,48.2,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
139,27,4.6,12.979166,77.640709,13.069166,77.730709,19.22,93.0,18.4,78.03,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
849,23,4.8,18.994237,72.825553,19.104237,72.935553,27.03,44.0,19.59,88.03,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1068,25,4.6,21.173343,72.792731,21.283343,72.902731,22.85,43.0,21.81,87.19,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
624,39,4.7,26.479108,80.315042,26.499108,80.335042,21.81,55.0,9.52,33.3,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1060,27,4.6,21.175104,72.804342,21.255104,72.884342,22.88,43.0,16.35,40.8,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
171,31,4.8,12.975377,77.696664,13.025377,77.746664,19.58,93.0,16.6,76.22,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1022,31,4.8,23.359194,85.325447,23.419194,85.385447,17.84,68.0,11.34,69.06,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1012,36,4.9,23.359407,85.325055,23.439407,85.405055,17.58,69.0,15.03,76.69,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1001,20,4.9,23.416792,85.316842,23.506792,85.406842,17.41,69.0,18.92,35.45,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1116,29,4.6,2.231279,73.170283,2.242279,73.280283,22.47,44.0,20.29,73.81,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
